ID,State,Constituency,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Result
2765,Karnataka,Haveri,NOTA,None of the Above,10831,34,10865,0.78,Lost
2766,Karnataka,Kolar,M. MALLESH BABU,Janata Dal  (Secular),689185,2296,691481,51.02,Won
2767,Karnataka,Kolar,K V GOWTHAM,Indian National Congress,618700,1393,620093,45.76,Lost
2768,Karnataka,Kolar,SUMAN H N,Independent,6484,3,6487,0.48,Lost
2769,Karnataka,Kolar,HOLUR SRINIVASA,Independent,6159,4,6163,0.45,Lost
2770,Karnataka,Kolar,S B SURESHA,Bahujan Samaj Party,4688,44,4732,0.35,Lost
2771,Karnataka,Kolar,K R DEVARAJA,Delhi Janta Party,4588,9,4597,0.34,Lost
2772,Karnataka,Kolar,DR M. VENKATASWAMY,Independent,3336,18,3354,0.25,Lost
2773,Karnataka,Kolar,R RANJITHKUMAR,Independent,2116,2,2118,0.16,Lost
2774,Karnataka,Kolar,S N NARAYANASWAMY V,Independent,1971,14,1985,0.15,Lost
2775,Karnataka,Kolar,D GOPALAKRISHNA,Socialist Party (India),1661,8,1669,0.12,Lost
2776,Karnataka,Kolar,DEVARAJA A ALUSURUDINNE,Uttama Prajaakeeya Party,1343,11,1354,0.1,Lost
2777,Karnataka,Kolar,M S BADARINARAYANA,Independent,1104,12,1116,0.08,Lost
2778,Karnataka,Kolar,MAHESH A V,Karnataka Rashtra Samithi,1035,30,1065,0.08,Lost
2779,Karnataka,Kolar,THIMMARAYAPPA,Republican Party of India (Karnataka),856,8,864,0.06,Lost
2780,Karnataka,Kolar,R RAJENDRA,Independent,750,1,751,0.06,Lost
2781,Karnataka,Kolar,M MUNIGANGAPPA,Independent,595,9,604,0.04,Lost
2782,Karnataka,Kolar,M  C HALLI VENU,Viduthalai Chiruthaigal Katchi,514,7,521,0.04,Lost
2783,Karnataka,Kolar,KRISHNAIAH N,Independent,438,5,443,0.03,Lost
2784,Karnataka,Kolar,NOTA,None of the Above,5798,33,5831,0.43,Lost
2785,Karnataka,Koppal,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,661921,1590,663511,49.93,Won
2786,Karnataka,Koppal,DR . BASAVARAJ. K. SHARANAPPA,Bharatiya Janata Party,614866,2288,617154,46.44,Lost
2787,Karnataka,Koppal,MALLIKARJUN HADAPAD,Independent,7310,4,7314,0.55,Lost
2788,Karnataka,Koppal,SHANKARA,Bahujan Samaj Party,7031,12,7043,0.53,Lost
2789,Karnataka,Koppal,KARADI BASAVARAJ,Independent,5868,9,5877,0.44,Lost
2790,Karnataka,Koppal,RUKMINI,Independent,5279,3,5282,0.4,Lost
2791,Karnataka,Koppal,SURESH. GOUDA MUNDINAMANE,Independent,4641,1,4642,0.35,Lost
2792,Karnataka,Koppal,NAGARAJ KALAL,Independent,1992,2,1994,0.15,Lost
2793,Karnataka,Koppal,KALAPPA YACHRAPPA BADIGER VISHWAKARMA,Independent,1967,15,1982,0.15,Lost
2794,Karnataka,Koppal,PA.YA. GANESH,Independent,1892,3,1895,0.14,Lost
2795,Karnataka,Koppal,HANAMESH . S . H. SHAKHAPUR,Independent,1247,1,1248,0.09,Lost
2796,Karnataka,Koppal,KAREEMPASHA GACHCHINMANI.,Independent,1233,5,1238,0.09,Lost
2797,Karnataka,Koppal,ANNOJI RAO. G,Sarva Janata Party,1113,4,1117,0.08,Lost
2798,Karnataka,Koppal,SHARANAPPA,Socialist Unity Centre Of India (COMMUNIST),1097,9,1106,0.08,Lost
2799,Karnataka,Koppal,NIRUPADI K GOMARSI,Karnataka Rashtra Samithi,891,9,900,0.07,Lost
2800,Karnataka,Koppal,RAMZANBEE,All India Ulama Congress,800,6,806,0.06,Lost
2801,Karnataka,Koppal,D DURGA PRASAD BYATARAYANAJI,Challengers Party,798,1,799,0.06,Lost
2802,Karnataka,Koppal,C. SHARANA BASAPPA,Republican Party of India (Karnataka),770,6,776,0.06,Lost
2803,Karnataka,Koppal,IMAMSAB JANGLISAB MULLA,Independent,728,5,733,0.06,Lost
2804,Karnataka,Koppal,NOTA,None of the Above,3496,23,3519,0.26,Lost
2805,Karnataka,Mandya,H.D. KUMARASWAMY,Janata Dal  (Secular),847482,4399,851881,58.34,Won
2806,Karnataka,Mandya,VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,564778,2483,567261,38.85,Lost
2807,Karnataka,Mandya,CHANDAN GOWDA. K,Independent,12310,84,12394,0.85,Lost
2808,Karnataka,Mandya,SHIVASHANKARA. S,Bahujan Samaj Party,6903,61,6964,0.48,Lost
2809,Karnataka,Mandya,RAMAIAH. D,Independent,3796,14,3810,0.26,Lost
2810,Karnataka,Mandya,RANJITHA. N,Independent,2897,12,2909,0.2,Lost
2811,Karnataka,Mandya,CHANDRASHEKARA. K.R (CHANDRU KEELARA),Karnataka Rashtra Samithi,1465,11,1476,0.1,Lost
2812,Karnataka,Mandya,BUDAYYA. B.P,Karunaadu Party,1358,12,1370,0.09,Lost
2813,Karnataka,Mandya,LOKESHA. S (AARYA LOKESH),Uttama Prajaakeeya Party,1151,12,1163,0.08,Lost
2814,Karnataka,Mandya,BEERESH. C.T (SAINIKA BEERESH),Independent,919,12,931,0.06,Lost
2815,Karnataka,Mandya,N.BASAVARAJU,Independent,802,41,843,0.06,Lost
2816,Karnataka,Mandya,H.D. REVANNA,Purvanchal Mahapanchayat,584,6,590,0.04,Lost
2817,Karnataka,Mandya,CHANNAMAYIGOWDA,Independent,496,1,497,0.03,Lost
2818,Karnataka,Mandya,S.ARVIND,Independent,440,2,442,0.03,Lost
2819,Karnataka,Mandya,NOTA,None of the Above,7706,30,7736,0.53,Lost
2820,Karnataka,Mysore,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,790391,5112,795503,53.59,Won
2821,Karnataka,Mysore,M. LAKSHMANA,Indian National Congress,653739,2502,656241,44.21,Lost
2822,Karnataka,Mysore,RANGASWAMY. M,Independent,4301,5,4306,0.29,Lost
2823,Karnataka,Mysore,KADAMBA NAA AMBARISH,Karnataka Jantha Paksha,4069,11,4080,0.27,Lost
2824,Karnataka,Mysore,A. S. SATHISH,Independent,3736,10,3746,0.25,Lost
2825,Karnataka,Mysore,RAMAMURTHY. M,Independent,3601,4,3605,0.24,Lost
2826,Karnataka,Mysore,RAJU,Independent,1940,9,1949,0.13,Lost
2827,Karnataka,Mysore,PRAJAKEEYA LEELA SHIVAKUMAR,Uttama Prajaakeeya Party,1724,30,1754,0.12,Lost
2828,Karnataka,Mysore,COMRADE SUNIL T. R,Socialist Unity Centre Of India (COMMUNIST),1538,22,1560,0.11,Lost
2829,Karnataka,Mysore,H. K. KRISHNA,Karunaadu Party,1479,10,1489,0.1,Lost
2830,Karnataka,Mysore,HARISH GOWDA,Socialist Party (India),967,9,976,0.07,Lost
2831,Karnataka,Mysore,P. S. YADURAPPA,Independent,874,4,878,0.06,Lost
2832,Karnataka,Mysore,AMBEDKAR. C. J,Independent,821,14,835,0.06,Lost
2833,Karnataka,Mysore,DARSHAN K PONNETI,Independent,761,3,764,0.05,Lost
2834,Karnataka,Mysore,M. S. PRAVEEN,Karnataka Rashtra Samithi,735,5,740,0.05,Lost
2835,Karnataka,Mysore,CHRISTOPHER RAJ KUMAR,Independent,533,11,544,0.04,Lost
2836,Karnataka,Mysore,DR. H. M. NANJUNDASWAMY,Samajwadi Janata Party(Karnataka),519,4,523,0.04,Lost
2837,Karnataka,Mysore,A. G. RAMACHANDRA RAO,Secular Democratic Congress,487,3,490,0.03,Lost
2838,Karnataka,Mysore,NOTA,None of the Above,4446,44,4490,0.3,Lost
2839,Karnataka,Raichur,G. KUMAR NAIK.,Indian National Congress,669413,1553,670966,51.63,Won
2840,Karnataka,Raichur,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party,588833,2352,591185,45.49,Lost
2841,Karnataka,Raichur,S. NARASANNA GOUDA NAYAKA,Bahujan Samaj Party,9275,14,9289,0.71,Lost
2842,Karnataka,Raichur,BASAVA PRABHU. MEDA,Karnataka Rashtra Samithi,5173,8,5181,0.4,Lost
2843,Karnataka,Raichur,AMARESH,Independent,4459,6,4465,0.34,Lost
2844,Karnataka,Raichur,YALLAMMA DALAPATHI,Independent,3629,5,3634,0.28,Lost
2845,Karnataka,Raichur,MEDHAR SHAMRAO,Bhartiya Jan Samrat Party,2625,15,2640,0.2,Lost
2846,Karnataka,Raichur,RAMALINGAPPA,Socialist Unity Centre Of India (COMMUNIST),2404,5,2409,0.19,Lost
2847,Karnataka,Raichur,NOTA,None of the Above,9825,25,9850,0.76,Lost
2848,Karnataka,Shimoga,B.Y.RAGHAVENDRA,Bharatiya Janata Party,775731,2990,778721,56.54,Won
2849,Karnataka,Shimoga,GEETHA SHIVARAJKUMAR,Indian National Congress,533622,1384,535006,38.85,Lost
2850,Karnataka,Shimoga,K. S. ESHWARAPPA,Independent,29959,91,30050,2.18,Lost
2851,Karnataka,Shimoga,BANDI,Independent,7265,1,7266,0.53,Lost
2852,Karnataka,Shimoga,RAVIKUMARA N.,Independent,4551,1,4552,0.33,Lost
2853,Karnataka,Shimoga,POOJA N. ANNAIAH,Independent,3454,3,3457,0.25,Lost
2854,Karnataka,Shimoga,A.D. SHIVAPPA,Bahujan Samaj Party,2772,7,2779,0.2,Lost
2855,Karnataka,Shimoga,N. V. NAVEEN KUMAR,Independent,1992,1,1993,0.14,Lost
2856,Karnataka,Shimoga,ARUNA KANAHALLI,Uttama Prajaakeeya Party,1475,3,1478,0.11,Lost
2857,Karnataka,Shimoga,E.H. NAYAK,Independent,953,1,954,0.07,Lost
2858,Karnataka,Shimoga,JOHN BENNY,Independent,863,4,867,0.06,Lost
2859,Karnataka,Shimoga,GANESH. B (BELLI),Independent,736,11,747,0.05,Lost
2860,Karnataka,Shimoga,D.S. ESHWARAPPA,Independent,687,8,695,0.05,Lost
2861,Karnataka,Shimoga,KUNAJE MANJUNATHA GOWDA,Independent,671,12,683,0.05,Lost
2862,Karnataka,Shimoga,S.K PRABHU,Karnataka Rashtra Samithi,611,6,617,0.04,Lost
2863,Karnataka,Shimoga,SHIVARUDRAIAH SWAMY,Independent,599,-,599,0.04,Lost
2864,Karnataka,Shimoga,IMTIYAZ A. ATTAR,Independent,440,2,442,0.03,Lost
2865,Karnataka,Shimoga,MOHAMMED YUSUF KHAN,Young Star Empowerment Party,403,1,404,0.03,Lost
2866,Karnataka,Shimoga,G. JAYADEVA,Independent,367,1,368,0.03,Lost
2867,Karnataka,Shimoga,CHANDRASHEKAR. H C,Independent,352,5,357,0.03,Lost
2868,Karnataka,Shimoga,P. SRIPATHI. BHAT,Independent,343,1,344,0.02,Lost
2869,Karnataka,Shimoga,SANDESH SHETTY. A,Independent,292,1,293,0.02,Lost
2870,Karnataka,Shimoga,H SURESH POOJARI,Independent,219,1,220,0.02,Lost
2871,Karnataka,Shimoga,NOTA,None of the Above,4311,21,4332,0.31,Lost
2872,Karnataka,Tumkur,V. SOMANNA,Bharatiya Janata Party,716709,4237,720946,55.31,Won
2873,Karnataka,Tumkur,S.P. MUDDAHANUMEGOWDA,Indian National Congress,543064,2288,545352,41.84,Lost
2874,Karnataka,Tumkur,J.K. SAMI,Independent,6761,14,6775,0.52,Lost
2875,Karnataka,Tumkur,RAJASIMHA J. N.,Bahujan Samaj Party,5521,33,5554,0.43,Lost
2876,Karnataka,Tumkur,S.N. SWAMY,Socialist Unity Centre Of India (COMMUNIST),4582,9,4591,0.35,Lost
2877,Karnataka,Tumkur,RANGANATHA. R.S,Independent,3129,3,3132,0.24,Lost
2878,Karnataka,Tumkur,MALLIKARJUNAIAH,Independent,1872,8,1880,0.14,Lost
2879,Karnataka,Tumkur,SIDDARAMEGOWDA T. B,Independent,1644,2,1646,0.13,Lost
2880,Karnataka,Tumkur,PRADEEP KUMAR DODDAMUDDEGOWDA,Karnataka Rashtra Samithi,1606,12,1618,0.12,Lost
2881,Karnataka,Tumkur,H.L. MOHAN KUMAR,Independent,890,3,893,0.07,Lost
2882,Karnataka,Tumkur,PRAKASH. R.A. JAIN,Independent,859,4,863,0.07,Lost
2883,Karnataka,Tumkur,NEELAKANTESHA. H S,Independent,710,9,719,0.06,Lost
2884,Karnataka,Tumkur,R. PUSHPA,Independent,622,7,629,0.05,Lost
2885,Karnataka,Tumkur,B. DEVARAJ,Independent,491,8,499,0.04,Lost
2886,Karnataka,Tumkur,R. NARAYANAPPA,Independent,483,24,507,0.04,Lost
2887,Karnataka,Tumkur,DR. H.B.M. HIREMATH,Kannada  Paksha,477,-,477,0.04,Lost
2888,Karnataka,Tumkur,KAPANIGOWDA.,Independent,451,20,471,0.04,Lost
2889,Karnataka,Tumkur,BASAVARAJU. H.R,National Maha Sabha Party,433,6,439,0.03,Lost
2890,Karnataka,Tumkur,NOTA,None of the Above,6426,34,6460,0.5,Lost
2891,Karnataka,Udupi Chikmagalur,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,728219,4015,732234,59.56,Won
2892,Karnataka,Udupi Chikmagalur,K. JAYAPRAKASH HEGDE,Indian National Congress,470769,2290,473059,38.48,Lost
2893,Karnataka,Udupi Chikmagalur,K.T. RADHAKRISHNA,Bahujan Samaj Party,5378,39,5417,0.44,Lost
2894,Karnataka,Udupi Chikmagalur,SUDHEER KANCHAN MARAKALA,Independent,2281,5,2286,0.19,Lost
2895,Karnataka,Udupi Chikmagalur,SACHIN B.K,Uttama Prajaakeeya Party,1299,34,1333,0.11,Lost
2896,Karnataka,Udupi Chikmagalur,M. K. DAYANANDA,Proutist Sarva Samaj,1049,20,1069,0.09,Lost
2897,Karnataka,Udupi Chikmagalur,VIJAY KUMAR M. G,Independent,943,13,956,0.08,Lost
2898,Karnataka,Udupi Chikmagalur,SUPREETH KUMAR POOJARY KATEEL,Janahitha Paksha,670,20,690,0.06,Lost
2899,Karnataka,Udupi Chikmagalur,SHABAREESH,Karunada Sevakara Party,560,5,565,0.05,Lost
2900,Karnataka,Udupi Chikmagalur,L. RANGANATH GOWDA,Karnataka Rashtra Samithi,536,4,540,0.04,Lost
2901,Karnataka,Udupi Chikmagalur,NOTA,None of the Above,11235,34,11269,0.92,Lost
2902,Karnataka,Uttara Kannada,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,777887,4608,782495,61.97,Won
2903,Karnataka,Uttara Kannada,DR. ANJALI NIMBALKAR,Indian National Congress,443296,1771,445067,35.25,Lost
2904,Karnataka,Uttara Kannada,RAJSHEKHAR. SHANKAR. HINDALAGI.,Independent,5384,13,5397,0.43,Lost
2905,Karnataka,Uttara Kannada,GANAPATI HEGDE,Socialist Unity Centre Of India (COMMUNIST),4427,45,4472,0.35,Lost
2906,Karnataka,Uttara Kannada,NIRANJAN UDAYSINH SIRDESAI,Independent,4116,53,4169,0.33,Lost
2907,Karnataka,Uttara Kannada,NAGARAJ. ANANT. SHIRALI.,Independent,2860,22,2882,0.23,Lost
2908,Karnataka,Uttara Kannada,CHIDANAND  HANUMANTHAPPA HARIJAN,Independent,1707,14,1721,0.14,Lost
2909,Karnataka,Uttara Kannada,PRAJAAKEEYA SUNIL,Uttama Prajaakeeya Party,1523,43,1566,0.12,Lost
2910,Karnataka,Uttara Kannada,VINAYAK NAIK,Karnataka Rashtra Samithi,1230,33,1263,0.1,Lost
2911,Karnataka,Uttara Kannada,K. P. PATIL,Independent,901,55,956,0.08,Lost
2912,Karnataka,Uttara Kannada,KRISHNA BALEGAR,Independent,897,23,920,0.07,Lost
2913,Karnataka,Uttara Kannada,ARAVIND GOWDA,Independent,872,32,904,0.07,Lost
2914,Karnataka,Uttara Kannada,AVINASH. NARAYAN. PATIL.,Independent,761,12,773,0.06,Lost
2915,Karnataka,Uttara Kannada,NOTA,None of the Above,10151,25,10176,0.81,Lost
2916,Kerala,Alappuzha,K. C VENUGOPAL,Indian National Congress,398246,6314,404560,38.21,Won
2917,Kerala,Alappuzha,A. M ARIFF,Communist Party of India  (Marxist),335596,5451,341047,32.21,Lost
2918,Kerala,Alappuzha,SOBHA SURENDRAN,Bharatiya Janata Party,295841,3807,299648,28.3,Lost
2919,Kerala,Alappuzha,MURALEEDHARAN KONCHERILLAM,Bahujan Samaj Party,1578,48,1626,0.15,Lost
2920,Kerala,Alappuzha,ARJUNAN,Socialist Unity Centre Of India (COMMUNIST),1301,18,1319,0.12,Lost
2921,Kerala,Alappuzha,VAYALAR RAJEEVAN,Bahujan Dravida Party,674,1,675,0.06,Lost
2922,Kerala,Alappuzha,ADV.K.M SHAJAHAN,Independent,627,55,682,0.06,Lost
2923,Kerala,Alappuzha,SHAJAHAN V.A.     S/O ABDUL AZEES,Independent,553,23,576,0.05,Lost
2924,Kerala,Alappuzha,SATHEESH SHENOI,Independent,473,9,482,0.05,Lost
2925,Kerala,Alappuzha,JAYAKRISHNAN P,Independent,329,56,385,0.04,Lost
2926,Kerala,Alappuzha,JYOTHI ABRAHAM,Independent,328,10,338,0.03,Lost
2927,Kerala,Alappuzha,NOTA,None of the Above,7252,113,7365,0.7,Lost
2928,Kerala,Alathur,K.RADHAKRISHNAN,Communist Party of India  (Marxist),398818,4629,403447,40.66,Won
2929,Kerala,Alathur,RAMYA HARIDAS,Indian National Congress,379231,4105,383336,38.63,Lost
2930,Kerala,Alathur,DR T N SARASU,Bharatiya Janata Party,186441,1789,188230,18.97,Lost
2931,Kerala,Alathur,HARI ARUMBIL,Bahujan Samaj Party,2835,36,2871,0.29,Lost
2932,Kerala,Alathur,KRISHNANKUTTY KUNISSERY,Independent,2323,28,2351,0.24,Lost
2933,Kerala,Alathur,NOTA,None of the Above,11918,115,12033,1.21,Lost
2934,Kerala,Attingal,ADV ADOOR PRAKASH,Indian National Congress,323273,4778,328051,33.29,Won
2935,Kerala,Attingal,V JOY,Communist Party of India  (Marxist),321715,5652,327367,33.22,Lost
2936,Kerala,Attingal,V  MURALEEDHARAN,Bharatiya Janata Party,307710,4069,311779,31.64,Lost
2937,Kerala,Attingal,SURABHI S,Bahujan Samaj Party,4485,39,4524,0.46,Lost
2938,Kerala,Attingal,PRAKASH P L,Independent,1762,52,1814,0.18,Lost
2939,Kerala,Attingal,SANTHOSH K,Independent,1146,58,1204,0.12,Lost
2940,Kerala,Attingal,PRAKASH S,Independent,745,66,811,0.08,Lost
2941,Kerala,Attingal,NOTA,None of the Above,9681,110,9791,0.99,Lost
2942,Kerala,Chalakudy,BENNY BEHANAN,Indian National Congress,390216,3955,394171,41.44,Won
2943,Kerala,Chalakudy,PROF C RAVEENDRANATH,Communist Party of India  (Marxist),327382,3035,330417,34.73,Lost
2944,Kerala,Chalakudy,K A UNNIKRISHNAN,Bharath Dharma Jana Sena,105706,694,106400,11.18,Lost
2945,Kerala,Chalakudy,ADV CHARLY PAUL,Twenty 20 Party,105020,622,105642,11.11,Lost
2946,Kerala,Chalakudy,ROSILIN CHACKO,Bahujan Samaj Party,2377,33,2410,0.25,Lost
2947,Kerala,Chalakudy,BOSCO KALAMASSERY,Independent,1071,16,1087,0.11,Lost
2948,Kerala,Chalakudy,SUBRAN K R,Independent,789,10,799,0.08,Lost
2949,Kerala,Chalakudy,DR M PRADEEPAN,Socialist Unity Centre Of India (COMMUNIST),688,6,694,0.07,Lost
2950,Kerala,Chalakudy,ARUN EDATHADAN,Independent,662,24,686,0.07,Lost
2951,Kerala,Chalakudy,T S CHANDRAN,Independent,481,50,531,0.06,Lost
2952,Kerala,Chalakudy,JOHNSON K C,Independent,379,8,387,0.04,Lost
2953,Kerala,Chalakudy,NOTA,None of the Above,8021,42,8063,0.85,Lost
2954,Kerala,Ernakulam,HIBI EDEN,Indian National Congress,478989,3328,482317,52.97,Won
2955,Kerala,Ernakulam,K. J. SHINE TEACHER,Communist Party of India  (Marxist),230059,1873,231932,25.47,Lost
2956,Kerala,Ernakulam,DR. K. S. RADHAKRISHNAN,Bharatiya Janata Party,143573,927,144500,15.87,Lost
2957,Kerala,Ernakulam,ADV. ANTONY JUDY,Twenty 20 Party,39658,150,39808,4.37,Lost
2958,Kerala,Ernakulam,VAYALAR JAYAKUMAR,Bahujan Samaj Party,1480,18,1498,0.16,Lost
2959,Kerala,Ernakulam,SANDEEP RAJENDRAPRASAD,Independent,734,18,752,0.08,Lost
2960,Kerala,Ernakulam,CYRILL SKARIA,Independent,663,27,690,0.08,Lost
2961,Kerala,Ernakulam,PRATHAPAN,Bahujan Dravida Party,414,5,419,0.05,Lost
2962,Kerala,Ernakulam,BRAHMAKUMAR,Socialist Unity Centre Of India (COMMUNIST),409,3,412,0.05,Lost
2963,Kerala,Ernakulam,ROHIT KRISHNAN,Independent,408,8,416,0.05,Lost
2964,Kerala,Ernakulam,NOTA,None of the Above,7715,43,7758,0.85,Lost
2965,Kerala,Idukki,ADV. DEAN KURIAKOSE,Indian National Congress,427129,5243,432372,51.43,Won
2966,Kerala,Idukki,ADV. JOICE GEORGE,Communist Party of India  (Marxist),295975,2670,298645,35.53,Lost
2967,Kerala,Idukki,ADV. SANGEETHA VISWANATHAN,Bharath Dharma Jana Sena,90663,660,91323,10.86,Lost
2968,Kerala,Idukki,ADV. RUSSEL JOY,Bahujan Samaj Party,4397,40,4437,0.53,Lost
2969,Kerala,Idukki,JOMON JOHN,Independent,1764,55,1819,0.22,Lost
2970,Kerala,Idukki,SAJI @ SHAJI,Viduthalai Chiruthaigal Katchi,1493,15,1508,0.18,Lost
2971,Kerala,Idukki,P.K. SAJEEVAN,Independent,1025,9,1034,0.12,Lost
2972,Kerala,Idukki,NOTA,None of the Above,9468,51,9519,1.13,Lost
2973,Kerala,Kannur,K. SUDHAKARAN,Indian National Congress,512266,6258,518524,48.74,Won
2974,Kerala,Kannur,M.V. JAYARAJAN,Communist Party of India  (Marxist),402614,6928,409542,38.5,Lost
2975,Kerala,Kannur,C. RAGHUNATH,Bharatiya Janata Party,118352,1524,119876,11.27,Lost
2976,Kerala,Kannur,RAMACHANDRAN BAVILEERI,Bharatheeya Jawan Kisan Party,2606,43,2649,0.25,Lost
2977,Kerala,Kannur,K. SUDHAKARAN S/O. KRISHNAN,Independent,990,19,1009,0.09,Lost
2978,Kerala,Kannur,SUDHAKARAN. K S/O. P GOPALAN,Independent,893,3,896,0.08,Lost
2979,Kerala,Kannur,JOY JOHN PATTAR MADATHIL,Independent,616,2,618,0.06,Lost
2980,Kerala,Kannur,JAYARAJ,Independent,478,10,488,0.05,Lost
2981,Kerala,Kannur,JAYARAJAN S/O. VELAYUDHAN,Independent,421,4,425,0.04,Lost
2982,Kerala,Kannur,VADI HAREENDRAN,Independent,289,54,343,0.03,Lost
2983,Kerala,Kannur,C. BALAKRISHNAN YADAV,Independent,279,25,304,0.03,Lost
2984,Kerala,Kannur,NARAYANA KUMAR,Independent,263,45,308,0.03,Lost
2985,Kerala,Kannur,NOTA,None of the Above,8718,155,8873,0.83,Lost
2986,Kerala,Kasaragod,RAJMOHAN UNNITHAN,Indian National Congress,487637,3022,490659,44.1,Won
2987,Kerala,Kasaragod,M.V BALAKRISHNAN MASTER,Communist Party of India  (Marxist),385969,4041,390010,35.06,Lost
2988,Kerala,Kasaragod,M.L ASHWINI,Bharatiya Janata Party,217996,1562,219558,19.73,Lost
2989,Kerala,Kasaragod,SUKUMARI M,Bahujan Samaj Party,1599,13,1612,0.14,Lost
2990,Kerala,Kasaragod,RAJESWARI K.R,Independent,886,11,897,0.08,Lost
2991,Kerala,Kasaragod,MANOHARAN K,Independent,777,27,804,0.07,Lost
2992,Kerala,Kasaragod,ANEESH PAYYANNUR,Independent,744,15,759,0.07,Lost
2993,Kerala,Kasaragod,BALAKRISHNAN N,Independent,594,34,628,0.06,Lost
2994,Kerala,Kasaragod,N KESHAVA NAYAK,Independent,480,27,507,0.05,Lost
2995,Kerala,Kasaragod,NOTA,None of the Above,7037,75,7112,0.64,Lost
2996,Kerala,Kollam,N K PREMACHANDRAN,Revolutionary Socialist Party,437516,6112,443628,48.45,Won
2997,Kerala,Kollam,M MUKESH,Communist Party of India  (Marxist),288861,4465,293326,32.03,Lost
2998,Kerala,Kollam,KRISHNAKUMAR G,Bharatiya Janata Party,160956,2254,163210,17.82,Lost
2999,Kerala,Kollam,VIPINLAL VIDHYADHARAN,Bahujan Samaj Party,2163,31,2194,0.24,Lost
3000,Kerala,Kollam,PREMACHANDRAN NAIR,Independent,1713,21,1734,0.19,Lost
3001,Kerala,Kollam,GOKULAM SURESH KUMAR,Independent,1369,5,1374,0.15,Lost
3002,Kerala,Kollam,PRADEEP KOTTARAKKARA,Bharatheeya Jawan Kisan Party,793,42,835,0.09,Lost
3003,Kerala,Kollam,TWINKLE PRABHAKARAN,Socialist Unity Centre Of India (COMMUNIST),689,19,708,0.08,Lost
3004,Kerala,Kollam,JOSE SARANATH,Ambedkarite Party of India,553,6,559,0.06,Lost
3005,Kerala,Kollam,BRO NOUSHAD  SHERIFF J,Independent,545,34,579,0.06,Lost
3006,Kerala,Kollam,P KRISHNAMMAL,Marxist Communist Party of India (United),537,12,549,0.06,Lost
3007,Kerala,Kollam,N JAYARAJAN,Independent,407,42,449,0.05,Lost
3008,Kerala,Kollam,NOTA,None of the Above,6437,109,6546,0.71,Lost
3009,Kerala,Kottayam,ADV K FRANCIS GEORGE,Kerala Congress,358369,6262,364631,43.6,Won
3010,Kerala,Kottayam,THOMAS CHAZHIKADAN,Kerala Congress  (M),272418,4947,277365,33.17,Lost
3011,Kerala,Kottayam,THUSHAR VELLAPPALLY,Bharath Dharma Jana Sena,163227,1819,165046,19.74,Lost
3012,Kerala,Kottayam,VIJU CHERIAN,Bahujan Samaj Party,7075,148,7223,0.86,Lost
3013,Kerala,Kottayam,P O PETER,Samajwadi Jan Parishad,1581,56,1637,0.2,Lost
3014,Kerala,Kottayam,V P KOCHUMON,Socialist Unity Centre Of India (COMMUNIST),1551,44,1595,0.19,Lost
3015,Kerala,Kottayam,JOSSIN K JOSEPH,Independent,1397,92,1489,0.18,Lost
3016,Kerala,Kottayam,CHANDRABOSE P,Independent,1071,16,1087,0.13,Lost
3017,Kerala,Kottayam,M M SCARIA,Independent,913,14,927,0.11,Lost
3018,Kerala,Kottayam,JOEMON JOSEPH SRAMPICKAL A P J JUMAN V S,Independent,875,18,893,0.11,Lost
3019,Kerala,Kottayam,ROBY MATTAPPALLY,Independent,697,42,739,0.09,Lost
3020,Kerala,Kottayam,SANTHOSH PULICKAL,Independent,686,24,710,0.08,Lost
3021,Kerala,Kottayam,SUNIL ALANCHERIL,Independent,499,28,527,0.06,Lost
3022,Kerala,Kottayam,MAN HOUSE MANMADHAN,Independent,403,18,421,0.05,Lost
3023,Kerala,Kottayam,NOTA,None of the Above,11804,129,11933,1.43,Lost
3024,Kerala,Kozhikode,M. K. RAGHAVAN,Indian National Congress,515608,4813,520421,47.74,Won
3025,Kerala,Kozhikode,ELAMARAM KAREEM,Communist Party of India  (Marxist),369884,4361,374245,34.33,Lost
3026,Kerala,Kozhikode,M. T. RAMESH,Bharatiya Janata Party,178692,1974,180666,16.57,Lost
3027,Kerala,Kozhikode,ARAMUKHAN,Bahujan Samaj Party,1684,31,1715,0.16,Lost
3028,Kerala,Kozhikode,ARAVINDAKSHAN NAIR M. K.,Bharatheeya Jawan Kisan Party,1290,15,1305,0.12,Lost
3029,Kerala,Kozhikode,RAGHAVAN S/O NARAYANAN NAIR,Independent,1057,39,1096,0.1,Lost
3030,Kerala,Kozhikode,T. RAGHAVAN S/O VELLANKUTTY,Independent,1009,9,1018,0.09,Lost
3031,Kerala,Kozhikode,N. RAGHAVAN S/O DAMU,Independent,753,29,782,0.07,Lost
3032,Kerala,Kozhikode,SUBHA,Independent,705,7,712,0.07,Lost
3033,Kerala,Kozhikode,DR. M. JYOTHIRAJ,Socialist Unity Centre Of India (COMMUNIST),641,12,653,0.06,Lost
